teamA,teamB,city,home_ground_of,rankTeamA,pointsTeamA,RatingTeamA,rankTeamB,pointsTeamB,RatingTeamB,winner
Pakistan,Zimbabwe,Lahore,Pakistan,9,3721,87,11,1250,45,Pakistan
Pakistan,Zimbabwe,Lahore,Pakistan,9,3721,87,11,1250,45,Pakistan
Pakistan,Zimbabwe,Lahore,Pakistan,9,3721,87,11,1250,45,no result
England,New Zealand,Birmingham,England,6,3968,98,3,4284,116,England
England,New Zealand,London,England,6,3968,98,3,4284,116,New Zealand
England,New Zealand,Southampton,England,6,3968,98,3,4284,116,New Zealand
England,New Zealand,Nottingham,England,6,3968,98,3,4284,116,England
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,Bangladesh
England,New Zealand,Chester-le-Street,England,6,3968,98,3,4284,116,England
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,Bangladesh
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Bangladesh,South Africa,Mirpur,Bangladesh,7,3094,96,4,5131,112,South Africa
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Bangladesh,South Africa,Mirpur,Bangladesh,7,3094,96,4,5131,112,Bangladesh
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,India
Bangladesh,South Africa,Chittagong,Bangladesh,7,3094,96,4,5131,112,Bangladesh
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Pakistan
Sri Lanka,Pakistan,Hambantota,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Zimbabwe,New Zealand,NA,Zimbabwe,11,1250,45,3,4284,116,Zimbabwe
Zimbabwe,New Zealand,NA,Zimbabwe,11,1250,45,3,4284,116,New Zealand
Zimbabwe,New Zealand,NA,Zimbabwe,11,1250,45,3,4284,116,New Zealand
South Africa,New Zealand,Centurion,South Africa,4,5131,112,3,4284,116,South Africa
South Africa,New Zealand,Potchefstroom,South Africa,4,5131,112,3,4284,116,New Zealand
South Africa,New Zealand,Durban,South Africa,4,5131,112,3,4284,116,South Africa
Ireland,Australia,Belfast,Ireland,10,549,50,1,4889,129,Australia
England,Australia,Southampton,England,6,3968,98,1,4889,129,Australia
England,Australia,London,England,6,3968,98,1,4889,129,Australia
England,Australia,Manchester,England,6,3968,98,1,4889,129,England
England,Australia,Leeds,England,6,3968,98,1,4889,129,England
England,Australia,Manchester,England,6,3968,98,1,4889,129,Australia
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Zimbabwe
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
Zimbabwe,Ireland,NA,Zimbabwe,11,1250,45,10,549,50,Zimbabwe
India,South Africa,Kanpur,India,2,5278,117,4,5131,112,South Africa
Zimbabwe,Ireland,NA,Zimbabwe,11,1250,45,10,549,50,Zimbabwe
Zimbabwe,Ireland,NA,Zimbabwe,11,1250,45,10,549,50,Ireland
India,South Africa,Indore,India,2,5278,117,4,5131,112,India
Zimbabwe,Afghanistan,Bulawayo,Zimbabwe,11,1250,45,12,618,41,Zimbabwe
